step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.49353402853012085,0.7025283575057983,0.0,0.0,0.0,0.0,"(1, 0, 0)"
2,training,1.1903281211853027,1.087399661540985,0.0,0.0,0.0,0.0,"(1, 0, 0)"
3,training,1.0771113634109497,1.0529125034809113,0.0,0.0,0.0,0.0,"(1, 0, 0)"
4,training,0.0037112943828105927,0.02259191870689392,0.0,0.0,0.0,0.0,"(1, 0, 0)"
5,training,0.27805787324905396,0.608379140496254,0.0,0.0,0.0,0.0,"(1, 0, 0)"
6,training,0.054259251803159714,0.042425647377967834,0.0,0.0,0.0,0.0,"(1, 0, 0)"
7,training,0.017819248139858246,0.14708727598190308,0.0,0.0,0.0,0.0,"(1, 0, 0)"
8,training,0.011582423001527786,0.013446286320686326,0.08834557615265508,0.0,0.0,0.0,"(1, 0, 0)"
9,training,0.024273889139294624,0.09792590513825417,0.08834557615265508,0.0,0.0,0.0,"(1, 0, 0)"
10,training,0.017101967707276344,0.06441462039947508,0.08834557615265508,0.0,0.0,0.0,"(1, 0, 0)"
11,training,0.02005143091082573,0.1567220538854599,0.08834557615265508,0.0,0.0,0.0,"(1, 0, 0)"
12,training,0.00791279599070549,0.03304359316825867,0.08834557615265508,0.0,0.0,0.0,"(1, 0, 0)"
13,training,0.006972260773181915,0.00980667211115361,0.08834557615265508,0.0,0.0,0.0,"(1, 0, 0)"
14,training,0.004767364822328091,0.022068556398153305,0.15252704166916084,0.0,0.0,0.0,"(1, 0, 0)"
15,training,0.00604777317494154,0.07142007164657116,0.15252704166916084,0.0,0.0,0.0,"(1, 0, 0)"
16,training,0.0025683175772428513,0.02138819918036461,0.15252704166916084,0.0,0.0,0.0,"(1, 0, 0)"
17,training,0.007029946893453598,0.06138475984334946,0.15252704166916084,0.0,0.0,0.0,"(1, 0, 0)"
18,training,0.0037960351910442114,0.014171104878187193,0.15252704166916084,0.0,0.0,0.0,"(1, 0, 0)"
19,training,0.00733102485537529,0.06577081233263016,0.18890597361105638,0.0,0.0,0.0,"(1, 0, 0)"
20,training,0.010773943737149239,0.14322970621287825,0.18890597361105638,0.0,0.0,0.0,"(1, 0, 0)"
21,training,0.010538917034864426,0.039240203797817216,0.18890597361105638,0.0,0.0,0.0,"(1, 0, 0)"
22,training,0.008064769208431244,0.028436504304409027,0.18890597361105638,0.0,0.0,0.0,"(1, 0, 0)"
23,training,0.0050687105394899845,0.08808264881372452,0.18890597361105638,0.0,0.0,0.0,"(1, 0, 0)"
24,training,0.00610205065459013,0.09582840837538242,0.19184220780263717,0.0,0.0,0.0,"(1, 0, 0)"
25,training,0.023953566327691078,0.28739169239997864,0.19184220780263717,0.0,0.0,0.0,"(1, 0, 0)"
26,training,0.021560635417699814,0.005227223038673415,0.19184220780263717,0.0,0.0,0.0,"(1, 0, 0)"
27,training,0.0156773179769516,0.19672347605228424,0.19184220780263717,0.0,0.0,0.0,"(1, 0, 0)"
28,training,0.02668977901339531,0.023741342127323137,0.19184220780263717,0.0,0.0,0.0,"(1, 0, 0)"
29,training,0.005321366712450981,0.09870761819183826,0.20284745066276424,0.0,0.0,0.0,"(1, 0, 0)"
30,training,0.009315146133303642,0.20605173707008362,0.20284745066276424,0.0,0.0,0.0,"(1, 0, 0)"
31,training,0.009263117797672749,0.2258685976266861,0.20284745066276424,0.0,0.0,0.0,"(1, 0, 0)"
32,training,0.008337672799825668,0.12948582135140896,0.20284745066276424,0.0,0.0,0.0,"(1, 0, 0)"
33,training,0.01421490777283907,0.2250485196709633,0.20284745066276424,0.0,0.0,0.0,"(1, 0, 0)"
34,training,0.009094798006117344,0.06607348658144473,0.18918167592803214,0.0,0.0,0.0,"(1, 0, 0)"
35,training,0.0013451045379042625,0.16972490400075912,0.18918167592803214,0.0,0.0,0.0,"(1, 0, 0)"
36,training,0.010309053584933281,0.056307414546608925,0.18918167592803214,0.0,0.0,0.0,"(1, 0, 0)"
37,training,0.0070053404197096825,0.15518544614315033,0.18918167592803214,0.0,0.0,0.0,"(1, 0, 0)"
38,training,0.0025704982690513134,0.18705393373966217,0.18918167592803214,0.0,0.0,0.0,"(1, 0, 0)"
39,training,0.014112911187112331,0.013560933992266655,0.1354176706250492,0.0,0.0,0.0,"(1, 0, 0)"
40,training,0.009674117900431156,0.12639086320996284,0.1354176706250492,0.0,0.0,0.0,"(1, 0, 0)"
41,training,0.010214225389063358,0.24771498516201973,0.1354176706250492,0.0,0.0,0.0,"(1, 0, 0)"
42,training,0.01725919358432293,0.02839133143424987,0.1354176706250492,0.0,0.0,0.0,"(1, 0, 0)"
43,training,0.011997235007584095,0.07158134505152702,0.1354176706250492,0.0,0.0,0.0,"(1, 0, 0)"
44,training,0.019339432939887047,0.28733623027801514,0.10026970350641812,0.0,0.0,0.0,"(0, 1, 0)"
45,training,0.025049684569239616,0.06998169422149658,0.10026970350641812,0.0,0.0,0.0,"(0, 1, 0)"
46,training,0.010408671572804451,0.15438378136605024,0.10026970350641812,0.0,0.0,0.0,"(0, 1, 0)"
47,training,0.007037284784018993,0.09565656862105243,0.10026970350641812,0.0,0.0,0.0,"(0, 1, 0)"
48,training,0.021863562986254692,0.08351093344390392,0.10026970350641812,0.0,0.0,0.0,"(0, 1, 0)"
49,training,0.005920587107539177,0.03769042156636715,0.05711609268386555,0.0,0.0,0.0,"(0, 1, 0)"
50,training,0.004811870399862528,0.09380196034908295,0.05711609268386555,0.0,0.0,0.0,"(0, 1, 0)"
