step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.3115944266319275,0.7357835173606873,0.0,-5.000178579885052,7.699473224926843,-3.1399815145058576,"(0, 1, 0)"
2,training,0.10281574726104736,0.24525679647922521,0.0,-5.012164759791063,7.699448034571302,-3.139825978475916,"(0, 1, 0)"
3,training,0.07938121259212494,0.3096403777599335,0.0,-5.069991261986903,7.69846087626662,-3.0834699760669055,"(0, 1, 0)"
4,training,0.21392200887203217,0.3284026980400086,0.0,-5.109065450841937,7.694070028088077,-2.974826613247521,"(0, 1, 0)"
5,training,0.21125727891921997,0.08134932816028595,0.09358483349071467,-5.166061604489207,7.6801224835110515,-2.8360359905409385,"(0, 1, 0)"
6,training,0,0.03556701540946962,0.09358483349071467,-5.184826116539045,7.673773598035337,-2.7958493346770337,"(0, 1, 0)"
7,training,0.26094743609428406,0.1169246882200241,0.09358483349071467,-5.259559584438968,7.644797212516785,-2.7565109244692763,"(0, 1, 0)"
8,training,0.023663636296987534,0.1993327047675848,0.09358483349071467,-5.296556747545965,7.6295570988828265,-2.7463259808556337,"(0, 1, 0)"
9,training,0.04756065458059311,0.11240148730576038,0.09358483349071467,-5.3144840563382685,7.622047906329696,-2.74827370251662,"(0, 1, 0)"
10,training,0.0710936114192009,0.38453467283397913,0.09358483349071467,-5.351589877584158,7.607180995100839,-2.7641942027516118,"(0, 1, 0)"
11,training,0.15080556273460388,0.4328533224761486,0.19665022083570183,-5.390113388901008,7.592243259542016,-2.796271279197141,"(0, 1, 0)"
12,training,0.06012613698840141,0.4970405586063862,0.19665022083570183,-5.428436993040994,7.579755397271845,-2.8404112691533725,"(0, 1, 0)"
13,training,0.05501396954059601,0.43215856654569507,0.19665022083570183,-5.447565903609895,7.573842745268328,-2.8437795092851315,"(0, 1, 0)"
14,training,0.04234634339809418,0.5309697985649109,0.19665022083570183,-5.485996290251797,7.562172563982576,-2.847597070917927,"(0, 1, 0)"
15,training,0.05625777691602707,0.49676744639873505,0.19665022083570183,-5.523964829281975,7.550554669305841,-2.8389842326854327,"(0, 1, 0)"
16,training,0.05474546179175377,0.3614075109362602,0.19665022083570183,-5.542984308920773,7.544547895583723,-2.8328353012350425,"(0, 1, 0)"
17,training,0.04938459396362305,0.42379407469707076,0.19665022083570183,-5.581131828194803,7.532170784568489,-2.822590825259443,"(0, 1, 0)"
18,training,0.06268700957298279,0.10440514050424099,0.2099871094134326,-5.6188618439696425,7.519550192862418,-2.8173813447837377,"(0, 1, 0)"
19,training,0.15840202569961548,0.46838829666376114,0.2099871094134326,-5.656819734555861,7.506815824141246,-2.819407894225678,"(0, 1, 0)"
20,training,0.04109952226281166,0.48856615275144577,0.2099871094134326,-5.694975427764816,7.494298225566935,-2.8312465765598422,"(0, 1, 0)"
21,training,0.039716482162475586,0.06362295523285866,0.2099871094134326,-5.713989447865555,7.488287805961018,-2.8395494977277744,"(0, 1, 0)"
22,training,0.011387046426534653,0.49881317280232906,0.2099871094134326,-5.771683950400565,7.471005132727472,-2.859105044371657,"(0, 1, 0)"
23,training,0.012747274711728096,0.09457726776599884,0.2099871094134326,-5.8100416470352965,7.4599646847153025,-2.8631925484244474,"(0, 1, 0)"
