step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.11222135275602341,0.33499065041542053,0.0,3.9988194847445464,0.0005119442087950015,0.003260788378025451,"(1, 0, 0)"
2,training,0.09410259127616882,0.29637981578707695,0.0,3.9996082589463966,0.0005175481843681522,0.006245077600575896,"(1, 0, 0)"
3,training,0,0.00013574585318566063,0.0,4.003746468057333,0.0005908696005566899,0.029098098295590125,"(1, 0, 0)"
4,training,0,0.00872106850147246,0.0,4.010445003399358,0.0008012107308004741,0.025910724581422517,"(1, 0, 0)"
5,training,0,0.016778700053691878,0.0,4.02128415406716,0.0008815151181429434,-0.015544452317904951,"(1, 0, 0)"
6,training,0,0.025022856891155243,0.0,4.054685720439218,-0.0008321995720748587,-0.06371877557145125,"(1, 0, 0)"
7,training,0,0.047546857967972755,0.0,4.094640396485072,-0.0035048110940611226,-0.06935594039017412,"(1, 0, 0)"
8,training,0.01422462984919548,0.053134215995669365,0.0,4.134516818167813,-0.0063995893087839895,-0.07619620272594704,"(1, 0, 0)"
9,training,0,0.03692451119422913,0.0,4.174114025467232,-0.009616174723476218,-0.09347915170527832,"(1, 0, 0)"
10,training,0,0.0038182735443115096,0.034911374501931235,4.212485897473972,-0.013743169128123506,-0.11450762942690358,"(1, 0, 0)"
11,training,0,5.9895217418670654e-05,0.034911374501931235,4.251456994645486,-0.01810395831806109,-0.10618743995900737,"(1, 0, 0)"
12,training,0,0.02691519260406495,0.034911374501931235,4.291113060762644,-0.022040724769070447,-0.09182690245105021,"(1, 0, 0)"
13,training,0,0.02306133136153221,0.034911374501931235,4.330869568042288,-0.025435563461847267,-0.07871653404361763,"(1, 0, 0)"
14,training,0,0.03777564689517021,0.034911374501931235,4.370585666974832,-0.0282715968870743,-0.06384324821411559,"(1, 0, 0)"
15,training,0.010832973755896091,0.059075748547911644,0.034911374501931235,4.410442288590974,-0.030494243406382383,-0.047851807413671524,"(1, 0, 0)"
16,training,0.017384707927703857,0.13661545515060425,0.014233847626639413,4.450215585222047,-0.03209830425522569,-0.03140211680469455,"(1, 0, 0)"
17,training,0.0105595663189888,0.11176251620054245,0.014233847626639413,4.490032311945916,-0.032953551356745166,-0.01247115175267772,"(1, 0, 0)"
18,training,0.013859882950782776,0.11241360008716583,0.014233847626639413,4.530586348775565,-0.033293004721626676,-0.014521572988670742,"(1, 0, 0)"
19,training,0.001572081120684743,0.06853530742228031,0.014233847626639413,4.569947924124412,-0.03439740333760316,-0.03817183823487079,"(1, 0, 0)"
20,training,0.005850646179169416,0.09007737413048744,0.014233847626639413,4.608784305095766,-0.03596325297260418,-0.03829986593191193,"(1, 0, 0)"
21,training,0,0.03241278976202011,0.014233847626639413,4.648769466194506,-0.037323282891340015,-0.03797794199943297,"(1, 0, 0)"
22,training,0,0.02365592122077942,0.015973470730895358,4.6876365955393124,-0.039052437730798056,-0.04495297716762756,"(1, 0, 0)"
23,training,0.006001684349030256,0.05537625402212143,0.015973470730895358,4.727458795846405,-0.04043456768124762,-0.024746588149811653,"(1, 0, 0)"
24,training,0,0.039416201412677765,0.015973470730895358,4.767048527582322,-0.04117139044055563,-0.016514135067993846,"(1, 0, 0)"
25,training,0,0.0493897907435894,0.015973470730895358,4.8069987811032915,-0.0417833006980026,-0.01681700622475824,"(1, 0, 0)"
26,training,0.0020328310783952475,0.06807105243206024,0.015973470730895358,4.8470686901891264,-0.042569651804943966,-0.02329250884774891,"(1, 0, 0)"
27,training,0,0.0007703239098191244,0.015973470730895358,4.88716686461366,-0.043584528558245864,-0.02393743328225064,"(1, 0, 0)"
28,training,0,0.02149347960948944,0.012891674239668393,4.927128849808333,-0.04441908797307598,-0.019008176787468047,"(1, 0, 0)"
29,training,0,0.014594662934541702,0.012891674239668393,4.967032800411597,-0.04516599617790407,-0.019077516711880696,"(1, 0, 0)"
30,training,0,0.022437060251832012,0.012891674239668393,5.006973683224068,-0.04589371886948898,-0.01697500535616746,"(1, 0, 0)"
31,training,0,0.015503797680139542,0.012891674239668393,5.046888317123474,-0.046525789526810475,-0.016444409525396803,"(1, 0, 0)"
32,training,0,0.024629676714539528,0.012891674239668393,5.08688621834718,-0.04719040225040959,-0.016775940643544297,"(1, 0, 0)"
