step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.13521279394626617,0.9899954199790955,0.0,0.0,0.0,0.0,"(0, 1, 0)"
2,training,0.011553066782653332,0.09294188022613531,0.0,0.0,0.0,0.0,"(0, 1, 0)"
3,training,0,0.0019196867942808948,0.0,0.0,0.0,0.0,"(0, 1, 0)"
4,training,0.0741235762834549,0.4628991484642029,0.0,0.0,0.0,0.0,"(0, 1, 0)"
5,training,0.13366301357746124,0.09862333536148071,0.1796108249306688,0.0,0.0,0.0,"(0, 1, 0)"
6,training,0.32827049493789673,0.43200740218162537,0.2725714776826787,0.0,0.0,0.0,"(0, 1, 0)"
7,training,0.18316492438316345,0.15992426872253418,0.33184221842129974,0.0,0.0,0.0,"(0, 1, 0)"
8,training,0.07832366228103638,0.26401466131210316,0.35829946200391516,0.0,0.0,0.0,"(0, 1, 0)"
9,training,0.08926920592784882,0.09218299388885498,0.35829946200391516,0.0,0.0,0.0,"(0, 1, 0)"
10,training,0.1381741166114807,0.22055715322494507,0.37976045325932983,0.0,0.0,0.0,"(0, 1, 0)"
11,training,0,0.028226405382156372,0.37976045325932983,0.0,0.0,0.0,"(0, 1, 0)"
12,training,0.1034022867679596,0.22393107414245605,0.39414785348453596,0.0,0.0,0.0,"(0, 1, 0)"
13,training,0,0.0012856125831603449,0.39414785348453596,0.0,0.0,0.0,"(0, 1, 0)"
14,training,0,0.02992507815361023,0.4008941632732677,0.0,0.0,0.0,"(0, 1, 0)"
15,training,0.07017458230257034,0.4925208389759063,0.4008941632732677,0.0,0.0,0.0,"(0, 1, 0)"
16,training,0.13486957550048828,0.26340021193027496,0.4008941632732677,0.0,0.0,0.0,"(0, 1, 0)"
17,training,0.1799384206533432,0.4251518100500107,0.4008941632732677,0.0,0.0,0.0,"(0, 1, 0)"
18,training,0.16844230890274048,0.3553030490875244,0.37541533690884904,0.0,0.0,0.0,"(0, 1, 0)"
19,training,0.11204234510660172,0.866070881485939,0.37541533690884904,0.0,0.0,0.0,"(0, 1, 0)"
20,training,0.08819271624088287,0.34854377806186676,0.37541533690884904,0.0,0.0,0.0,"(0, 1, 0)"
21,training,0.11415085196495056,0.40980564057826996,0.37541533690884904,0.0,0.0,0.0,"(0, 1, 0)"
