step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.49066534638404846,0.7004666328430176,0.0,0.0,0.0,0.0,"(1, 0, 0)"
2,training,1.1317992210388184,1.0615756511688232,0.0,0.0,0.0,0.0,"(1, 0, 0)"
3,training,0.891422688961029,0.9353623688220978,0.0,0.0,0.0,0.0,"(1, 0, 0)"
4,training,0.00960574485361576,0.07823210954666132,0.0,0.0,0.0,0.0,"(1, 0, 0)"
5,training,0.055568888783454895,0.2762806862592697,0.0,0.0,0.0,0.0,"(1, 0, 0)"
6,training,0.03338856250047684,0.06408213078975672,0.0,0.0,0.0,0.0,"(1, 0, 0)"
7,training,0.008695868775248528,0.04835464805364609,0.07509105624282125,0.0,0.0,0.0,"(1, 0, 0)"
8,training,0.042769283056259155,0.3555932343006134,0.07509105624282125,0.0,0.0,0.0,"(1, 0, 0)"
9,training,0.030439134687185287,0.20829423516988754,0.07509105624282125,0.0,0.0,0.0,"(1, 0, 0)"
10,training,0.010096256621181965,0.00071687251329422,0.07509105624282125,0.0,0.0,0.0,"(1, 0, 0)"
11,training,0.02500966191291809,0.23411446064710617,0.07509105624282125,0.0,0.0,0.0,"(1, 0, 0)"
12,training,0.00909222848713398,0.004046175628900528,0.07509105624282125,0.0,0.0,0.0,"(1, 0, 0)"
13,training,0.017254158854484558,0.20936677046120167,0.14820352730476283,0.0,0.0,0.0,"(1, 0, 0)"
14,training,0.02744949236512184,0.1201011873781681,0.14820352730476283,0.0,0.0,0.0,"(1, 0, 0)"
15,training,0.0027606028597801924,0.08766112476587296,0.14820352730476283,0.0,0.0,0.0,"(1, 0, 0)"
16,training,0.007698376663029194,0.1227108910679817,0.14820352730476283,0.0,0.0,0.0,"(1, 0, 0)"
17,training,0.0073100728914141655,0.04059915989637375,0.14820352730476283,0.0,0.0,0.0,"(1, 0, 0)"
18,training,0.01175651140511036,0.13168353773653507,0.18620896042123108,0.0,0.0,0.0,"(1, 0, 0)"
19,training,0.011328579857945442,0.006754666566848755,0.18620896042123108,0.0,0.0,0.0,"(1, 0, 0)"
20,training,0.0028105247765779495,0.09728801064193247,0.18620896042123108,0.0,0.0,0.0,"(1, 0, 0)"
21,training,0.013199757784605026,0.019482135772705078,0.18620896042123108,0.0,0.0,0.0,"(1, 0, 0)"
22,training,0.008935481309890747,0.0684540718793869,0.18620896042123108,0.0,0.0,0.0,"(1, 0, 0)"
23,training,0.004245143383741379,0.11168550699949263,0.1877272416864456,0.0,0.0,0.0,"(1, 0, 0)"
24,training,0.01403102744370699,0.24410225450992584,0.1877272416864456,0.0,0.0,0.0,"(1, 0, 0)"
25,training,0.00835522823035717,0.07236090674996376,0.1877272416864456,0.0,0.0,0.0,"(1, 0, 0)"
26,training,0.01563253626227379,0.24658004194498062,0.1877272416864456,0.0,0.0,0.0,"(1, 0, 0)"
27,training,0.009430062025785446,0.08380392752587795,0.1877272416864456,0.0,0.0,0.0,"(1, 0, 0)"
28,training,0.0066000064834952354,0.11170524545013905,0.19757912086315763,0.0,0.0,0.0,"(1, 0, 0)"
29,training,0.009568257257342339,0.2571674883365631,0.19757912086315763,0.0,0.0,0.0,"(1, 0, 0)"
30,training,0.012931229546666145,0.12495596148073673,0.19757912086315763,0.0,0.0,0.0,"(1, 0, 0)"
31,training,0.0019904773216694593,0.228201262652874,0.19757912086315763,0.0,0.0,0.0,"(1, 0, 0)"
32,training,0.013357398100197315,0.03538554906845093,0.19757912086315763,0.0,0.0,0.0,"(1, 0, 0)"
33,training,0.004960506223142147,0.06923834048211575,0.1895218814756024,0.0,0.0,0.0,"(1, 0, 0)"
34,training,0.008471382781863213,0.09863939136266707,0.1895218814756024,0.0,0.0,0.0,"(1, 0, 0)"
35,training,0.001533715520054102,0.17458926886320114,0.1895218814756024,0.0,0.0,0.0,"(1, 0, 0)"
36,training,0.007953776977956295,0.01880604773759842,0.1895218814756024,0.0,0.0,0.0,"(1, 0, 0)"
37,training,0.009156323038041592,0.0845232754945755,0.1895218814756024,0.0,0.0,0.0,"(1, 0, 0)"
38,training,0.003720143809914589,0.12477964535355568,0.1263977756819537,0.0,0.0,0.0,"(1, 0, 0)"
39,training,0.004362654872238636,0.16238702833652496,0.1263977756819537,0.0,0.0,0.0,"(1, 0, 0)"
40,training,0.009092830121517181,0.07712623849511147,0.1263977756819537,0.0,0.0,0.0,"(1, 0, 0)"
41,training,0.002179846167564392,0.10196966305375099,0.1263977756819537,0.0,0.0,0.0,"(1, 0, 0)"
42,training,0.011690165847539902,0.13912198320031166,0.1263977756819537,0.0,0.0,0.0,"(1, 0, 0)"
43,training,0.0067089758813381195,0.09986791387200356,0.08350461844750913,0.0,0.0,0.0,"(1, 0, 0)"
44,training,0.004050923977047205,0.22168272361159325,0.08350461844750913,0.0,0.0,0.0,"(0, 1, 0)"
45,training,0.00923564750701189,0.10372054949402809,0.08350461844750913,0.0,0.0,0.0,"(0, 1, 0)"
46,training,0.003945385105907917,0.04987526871263981,0.08350461844750913,0.0,0.0,0.0,"(0, 1, 0)"
47,training,0.021492213010787964,0.09077717363834381,0.08350461844750913,0.0,0.0,0.0,"(0, 1, 0)"
