step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0,0.008921537548303604,0.0,3.998819686468974,0.0005125347817674252,0.0032644574267462166,"(1, 0, 0)"
2,training,0,0.008896633982658386,0.0,3.998833756745149,0.0005155090877341153,0.0032829187924587225,"(1, 0, 0)"
3,training,0,0.04222081135958433,0.0,4.0037657227292796,0.000534673524623675,0.0034012159716782435,"(1, 0, 0)"
4,training,0,0.013968128710985184,0.0,4.036937633157856,0.000639792528217943,0.0009732368040237763,"(1, 0, 0)"
5,training,0.003670309204608202,0.052466511726379395,0.0,4.137066457122825,-0.00046137256280480204,-0.023393390610445926,"(1, 0, 0)"
6,training,0.15037566423416138,0.05316770076751709,0.0,4.1570899059269335,-0.0009550726824393388,-0.024733376464338167,"(1, 0, 0)"
7,training,0,0.0033477572724223137,0.0,4.176697788816894,-0.0013320710215046676,-0.015245748208923592,"(1, 0, 0)"
8,training,0,0.013631487265229232,0.0,4.196651404488946,-0.00163083968619125,-0.015860767035978444,"(1, 0, 0)"
9,training,0,0.009617973119020462,0.04565711448824383,4.2367941295269365,-0.002342566128469528,-0.01988385491809456,"(1, 0, 0)"
10,training,0,0.005143368616700172,0.04565711448824383,4.276719788799889,-0.003220893424590476,-0.024125520023168073,"(1, 0, 0)"
11,training,0,0.006872873753309252,0.04565711448824383,4.316684349114335,-0.004260936084846452,-0.028108913323195883,"(1, 0, 0)"
12,training,0,0.0079130781814456,0.04565711448824383,4.356843155131243,-0.005470832687568978,-0.0318166084808143,"(1, 0, 0)"
13,training,0,0.006516123190522194,0.04565711448824383,4.396644453484512,-0.0068086166867376155,-0.035707415942147644,"(1, 0, 0)"
14,training,0,0.0066836904734373075,0.04565711448824383,4.436712627416209,-0.008308105837619305,-0.039331790350401866,"(1, 0, 0)"
15,training,0,0.012060878099873662,0.040868738494360776,4.476669155401773,-0.00994054597074053,-0.042712895048571516,"(1, 0, 0)"
16,training,0,0.015475818887352943,0.040868738494360776,4.516550029625125,-0.011710023121646328,-0.046193214595710186,"(1, 0, 0)"
17,training,0,0.023678959347307682,0.040868738494360776,4.556671764539722,-0.013628041230057909,-0.049361053654809216,"(1, 0, 0)"
18,training,0,0.023862595669925213,0.040868738494360776,4.596450093635226,-0.015647780187277253,-0.05262955722889196,"(1, 0, 0)"
19,training,0,0.039336107671260834,0.040868738494360776,4.636429440752937,-0.01781354612155292,-0.055864736075368515,"(1, 0, 0)"
20,training,0.25066661834716797,0.0767586398869753,0.040868738494360776,4.696270050642568,-0.021277957083334322,-0.060357294527494554,"(1, 0, 0)"
21,training,0.11424468457698822,0.06428546085953712,0.033373209880928956,4.736183555336225,-0.023678279711385537,-0.059255799266588076,"(1, 0, 0)"
22,training,0.08427061140537262,0.09486692398786545,0.033373209880928956,4.776142126236483,-0.02567099779038697,-0.03606404171393751,"(1, 0, 0)"
23,training,0.06513182818889618,0.09766782447695732,0.033373209880928956,4.7959175558556355,-0.026267421513646288,-0.025340077303542232,"(1, 0, 0)"
24,training,0,0.009986784309148788,0.033373209880928956,4.8356603446263255,-0.026924096148418765,-0.01180327789165724,"(1, 0, 0)"
25,training,0,0.007354579865932465,0.033373209880928956,4.875782400015138,-0.0273709079530857,-0.007007530206411597,"(1, 0, 0)"
26,training,0,0.001214146614074707,0.033373209880928956,4.915532432530342,-0.02746339368780418,0.0020229041054746397,"(1, 0, 0)"
27,training,0,0.0012047979980707169,0.028271273369467113,4.955573603200955,-0.027215789686212605,0.010144674127209149,"(1, 0, 0)"
28,training,0,0.02429918572306633,0.028271273369467113,4.995521293139026,-0.026694502024236646,0.0158148253718422,"(1, 0, 0)"
29,training,0,0.028867240995168686,0.028271273369467113,5.035396316665183,-0.025947880681771635,0.021283506899978617,"(1, 0, 0)"
30,training,0,0.02618559822440148,0.028271273369467113,5.075519522425919,-0.02500392841210522,0.026043810850632714,"(1, 0, 0)"
31,training,0,0.03013220801949501,0.028271273369467113,5.1152918018342755,-0.023875449860092688,0.030488353536678423,"(1, 0, 0)"
32,training,0,0.030390892177820206,0.028271273369467113,5.15528060868622,-0.0225728249547935,0.03445183019098888,"(1, 0, 0)"
33,training,0,0.041243620216846466,0.033396774284354856,5.195278327004056,-0.02113882803236719,0.03704632310993902,"(1, 0, 0)"
34,training,0.03106275573372841,0.051564309746027,0.033396774284354856,5.255098545436908,-0.01879789451028636,0.04072859733948346,"(1, 0, 0)"
35,training,0.09552308171987534,0.1513419784605503,0.033396774284354856,5.295172612099029,-0.017180900259401093,0.039210801163962174,"(1, 0, 0)"
36,training,0,0.018824215978384018,0.033396774284354856,5.314936730854,-0.016430210577723474,0.03460168643346343,"(1, 0, 0)"
37,training,0.06048363447189331,0.15972722694277766,0.033396774284354856,5.354831909910174,-0.015211801817351944,0.032228399950646705,"(1, 0, 0)"
38,training,0,0.04512505605816841,0.033396774284354856,5.394913712493122,-0.013841801585734155,0.0363269766843902,"(1, 0, 0)"
39,training,0,0.002699814736843109,0.030211553039098553,5.434652459703215,-0.01230225438988849,0.04026770249016382,"(1, 0, 0)"
40,training,0,0.004266906529664993,0.030211553039098553,5.474702050786744,-0.010653537820370693,0.04112621723881332,"(1, 0, 0)"
