step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.1124318465590477,0.33531690761446953,0.0,3.998821740555561,0.000518548561250246,0.0033018193890629217,"(1, 0, 0)"
2,training,0.05708363279700279,0.21857933327555656,0.0,3.9997995418697334,0.0005258175341155563,0.00981250977257056,"(1, 0, 0)"
3,training,0.019741136580705643,0.12214210815727711,0.0,4.003881996535959,0.0006225022458456115,0.03460689336765359,"(1, 0, 0)"
4,training,0,0.03716775216162205,0.0,4.003881996535959,0.0006225022458456115,0.03460689336765359,"(1, 0, 0)"
5,training,0.008331697434186935,0.15085904113948345,0.0,4.022115870232581,0.000906497353310758,-0.019599854431104742,"(1, 0, 0)"
6,training,0.016642365604639053,0.1329578310251236,0.0,4.056032531788252,-0.0007301623070690468,-0.055293749946749925,"(1, 0, 0)"
7,training,0.01250917837023735,0.12031830847263336,0.0,4.095970644734653,-0.0029385737837220203,-0.05274003802801962,"(1, 0, 0)"
8,training,0,0.018971465528011322,0.0,4.1358792051206805,-0.005043820968714412,-0.06017161171728884,"(1, 0, 0)"
9,training,0,0.0038876719772815704,0.0,4.17471532061907,-0.0077620193950884014,-0.0745897583885981,"(1, 0, 0)"
10,training,0,0.006000800058245659,0.0,4.214620616868872,-0.010644412696043836,-0.06975383334243783,"(1, 0, 0)"
11,training,0,0.008333852514624592,0.0308909018863678,4.254416071636622,-0.013342861000403512,-0.06565916988098637,"(1, 0, 0)"
12,training,0,0.003241686150431633,0.0308909018863678,4.29427718754348,-0.015853225044113826,-0.06029743441689552,"(1, 0, 0)"
13,training,0,0.002152068540453911,0.0308909018863678,4.334150106533395,-0.018184300380534275,-0.05734563402940674,"(1, 0, 0)"
14,training,0,0.012992260977625843,0.0308909018863678,4.373994622026005,-0.020396232924752643,-0.053700069702773606,"(1, 0, 0)"
15,training,0,0.010577080771327022,0.0308909018863678,4.413951905730124,-0.02246184494416132,-0.0501235528042128,"(1, 0, 0)"
16,training,0,0.003519555553793907,0.0308909018863678,4.453812928504084,-0.024432467163710614,-0.04879500813286776,"(1, 0, 0)"
17,training,0,0.014548970386385921,0.025212332760910273,4.493691428436146,-0.026308643563141984,-0.04527417759606956,"(1, 0, 0)"
18,training,0,0.03951531648635864,0.025212332760910273,4.5335966195211554,-0.02806059512115324,-0.043627946351703924,"(1, 0, 0)"
19,training,0,0.043462265282869346,0.025212332760910273,4.57351788997773,-0.029772285080749437,-0.0421150180495527,"(1, 0, 0)"
20,training,0,0.009983396157622337,0.025212332760910273,4.6134770573303125,-0.03139783996088863,-0.03928741231626736,"(1, 0, 0)"
21,training,0,0.0004536788910627348,0.025212332760910273,4.653352749914761,-0.03294325067153592,-0.03845640387377708,"(1, 0, 0)"
22,training,0,0.04881146177649499,0.025212332760910273,4.693256027211877,-0.03441661704856057,-0.03531850368243778,"(1, 0, 0)"
23,training,0,0.003044871613383293,0.012902381598913087,4.733158274722315,-0.035763123712346016,-0.033503388410947244,"(1, 0, 0)"
24,training,0.004799222107976675,0.0545443594455719,0.012902381598913087,4.7731240044185075,-0.03707483816386389,-0.032227035472625225,"(1, 0, 0)"
25,training,0.0040278928354382515,0.12603256851434708,0.012902381598913087,4.812899357300781,-0.038383263121909886,-0.03809311582761952,"(1, 0, 0)"
26,training,0.007209814619272947,0.13194743543863297,0.012902381598913087,4.852622681681465,-0.04011618821258043,-0.04755959195458671,"(1, 0, 0)"
27,training,0,0.003768406808376326,0.012902381598913087,4.89249939610114,-0.04196157145819603,-0.04451517746674788,"(1, 0, 0)"
28,training,0,0.008086174726486206,0.012902381598913087,4.9324110086724495,-0.04354976537408265,-0.032489822809609,"(1, 0, 0)"
29,training,0,0.04573827609419823,0.01335888607895899,4.97223578480522,-0.04458243378166555,-0.0199208113812566,"(1, 0, 0)"
30,training,0,0.03741830959916115,0.01335888607895899,5.012093206318786,-0.04510031470905146,-0.006066286528351221,"(1, 0, 0)"
31,training,0,0.03601674333913252,0.01335888607895899,5.0519775723107285,-0.045107131154456435,0.004269726763164448,"(1, 0, 0)"
32,training,0,0.03313652565702796,0.01335888607895899,5.091946934501705,-0.044775372045098086,0.011668106091858478,"(1, 0, 0)"
33,training,0,0.02005726285278797,0.01335888607895899,5.131868516008329,-0.04415706869593449,0.018437978033436254,"(1, 0, 0)"
34,training,0,0.03183116577565669,0.01335888607895899,5.171796616821435,-0.043363408741003404,0.020374434335846296,"(1, 0, 0)"
35,training,0,0.03788193501532077,0.009412099047403852,5.211710099952066,-0.042493132753055406,0.02362494193471567,"(1, 0, 0)"
36,training,0,0.04409702681005001,0.009412099047403852,5.251646242410339,-0.041489190952386804,0.02525783158844302,"(1, 0, 0)"
37,training,0.009283997118473053,0.09303444065153597,0.009412099047403852,5.2916575602571925,-0.040491241931916895,0.024365444056854656,"(1, 0, 0)"
38,training,0.006199845112860203,0.1281829439103603,0.009412099047403852,5.331582738263415,-0.03952954704103942,0.02124540902072125,"(1, 0, 0)"
39,training,0.006503196433186531,0.11865213327109814,0.009412099047403852,5.3715987138136745,-0.03883872849303791,0.014034277969717571,"(1, 0, 0)"
40,training,0.03784393519163132,0.27942347526550293,0.009412099047403852,5.410806846861562,-0.03840399700513587,0.010579166434060153,"(1, 0, 0)"
41,training,0,0.03446699678897858,0.022905306292752163,5.45095205294212,-0.03751997605216001,0.02656816050829867,"(1, 0, 0)"
42,training,0,0.034692905843257904,0.022905306292752163,5.490919089925264,-0.036466793953968096,0.028575880954356144,"(1, 0, 0)"
43,training,0,0.03207255154848099,0.022905306292752163,5.5308055514343835,-0.03517176892435066,0.03657097963816273,"(1, 0, 0)"
44,training,0.010556433349847794,0.07619839347898959,0.022905306292752163,5.5706729078855215,-0.03356139425643097,0.04299946592933171,"(0, 1, 0)"
45,training,0.04426257684826851,0.12760229408740997,0.022905306292752163,5.6099392705861915,-0.03189884940864955,0.03044773444338754,"(0, 1, 0)"
46,training,0.0468158945441246,0.052163638174533844,0.022905306292752163,5.647708286570694,-0.03153645960589041,-0.003820270287201499,"(0, 1, 0)"
47,training,0.017661362886428833,0.2379511259496212,0.03262031543837736,5.684179662424552,-0.031627302546291085,-0.0072711818661852405,"(0, 1, 0)"
48,training,0,0.013881199061870582,0.03262031543837736,5.723009710571734,-0.03201846382337475,-0.009437533912050646,"(0, 1, 0)"
49,training,0,0.02693690732121467,0.03262031543837736,5.763077709199462,-0.03209417825931729,-0.0046514913764946295,"(0, 1, 0)"
50,training,0,0.027675550431013107,0.03262031543837736,5.803175592074875,-0.03259838069148355,-0.021166318719486113,"(0, 1, 0)"
51,training,0.02528332732617855,0.050362429581582546,0.03262031543837736,5.8431631197258875,-0.03373270859428637,-0.03545317102874568,"(0, 1, 0)"
52,training,0,0.015401096083223818,0.03262031543837736,5.883012842264114,-0.03539192677325847,-0.046265082566314834,"(0, 1, 0)"
53,training,0.0038461408112198114,0.08108706772327423,0.029815725940865043,5.92296543866848,-0.03723111087878826,-0.04386327025288626,"(0, 1, 0)"
54,training,0.011191306635737419,0.0836176648736,0.029815725940865043,5.962910429436725,-0.03883738169427731,-0.03607282712127069,"(0, 1, 0)"
55,training,0.006883133668452501,0.08213875815272331,0.029815725940865043,6.002785582290927,-0.04017075429269037,-0.03258654832218395,"(0, 1, 0)"
56,training,0,0.034129854291677475,0.029815725940865043,6.042669722392044,-0.04138916950537739,-0.026587389879525893,"(0, 1, 0)"
57,training,0,0.03481711260974407,0.029815725940865043,6.082465927609165,-0.04241604426061232,-0.030513703583497354,"(0, 1, 0)"
58,training,0,0.001900969073176384,0.029815725940865043,6.122411598145194,-0.0437530705784705,-0.03638568181572612,"(0, 1, 0)"
59,training,0,0.011641485150903463,0.022832663290747124,6.162386145747372,-0.045278964223637516,-0.0397809922365534,"(0, 1, 0)"
60,training,0,0.014528215397149324,0.022832663290747124,6.202330963667797,-0.04695077431780328,-0.04470799902359693,"(0, 1, 0)"
61,training,0,0.019854151643812656,0.022832663290747124,6.242225325491679,-0.048812124598776624,-0.04870560654240175,"(0, 1, 0)"
62,training,0,0.02650703163817525,0.022832663290747124,6.282266063262654,-0.05084909839283111,-0.053683217759247955,"(0, 1, 0)"
63,training,0,0.03325193701311946,0.022832663290747124,6.322146678630966,-0.05314518300142476,-0.061278268922324214,"(0, 1, 0)"
64,training,0,0.04920532554388046,0.022832663290747124,6.362029441177173,-0.05569227275915724,-0.06631010412386162,"(0, 1, 0)"
65,training,0,0.04878239519894123,0.021247140812829187,6.401991682178654,-0.058458513612801716,-0.07322897356871863,"(0, 1, 0)"
66,training,0.004898646846413612,0.05848982371389866,0.021247140812829187,6.441811964583181,-0.06151327658670297,-0.07974478981581641,"(0, 1, 0)"
67,training,0,0.04586105421185494,0.021247140812829187,6.481758498097543,-0.06482350985505099,-0.08638576958568797,"(0, 1, 0)"
68,training,0.003155090846121311,0.09288018569350243,0.021247140812829187,6.521545690987408,-0.06840710672484841,-0.09255051677937952,"(0, 1, 0)"
69,training,0.007581566460430622,0.12100637704133987,0.021247140812829187,6.561266857837106,-0.07210721935162881,-0.09256515450658555,"(0, 1, 0)"
70,training,0.003023941069841385,0.08329764008522034,0.021247140812829187,6.6011885111497755,-0.07576748100958451,-0.08995090425822345,"(0, 1, 0)"
71,training,0.007934133522212505,0.17105361446738243,0.015753348795195365,6.640882330088355,-0.07926302010807115,-0.08420666341962865,"(0, 1, 0)"
72,training,0.004459904972463846,0.13107040897011757,0.015753348795195365,6.6801018658539695,-0.08249108387057776,-0.087231420213469,"(0, 1, 0)"
73,training,0.0033034475054591894,0.19489170238375664,0.015753348795195365,6.719812496883423,-0.08603577111359831,-0.08913740389291476,"(0, 1, 0)"
74,training,0.008617845363914967,0.2598394937813282,0.015753348795195365,6.759511978601418,-0.08950030357802088,-0.08715440032390845,"(0, 1, 0)"
75,training,0.00621816236525774,0.23939689621329308,0.015753348795195365,6.799435080315891,-0.09297434106319921,-0.08570308501886897,"(0, 1, 0)"
76,training,0.006029474548995495,0.22301627695560455,0.015753348795195365,6.839117629281712,-0.09627692307108657,-0.07768836307367176,"(0, 1, 0)"
