step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.16385427117347717,0.7370020747184753,0.0,-5.00018079100879,7.699466784538248,-3.139941498944741,"(0, 1, 0)"
2,training,0.044658612459897995,0.21495371311903,0.0,-5.018560706844068,7.699427213962044,-3.139697131306536,"(0, 1, 0)"
3,training,0.5481290817260742,0.07714089751243597,0.0,-5.057213622286415,7.698885760157281,-3.10819857847434,"(0, 1, 0)"
4,training,0.0813208743929863,0.10099445283412939,0.0,-5.096547770379794,7.696543280658265,-3.0544847179544683,"(0, 1, 0)"
5,training,0,0.04600420594215393,0.0,-5.116352084745565,7.694549099590508,-3.0318843289193977,"(0, 1, 0)"
6,training,0,0.039642661809921265,0.0,-5.136067367144027,7.692271241017617,-3.020364989115001,"(0, 1, 0)"
7,training,0,0.03551056981086731,0.0,-5.175208687251725,7.686707404652059,-2.9777241282778895,"(0, 1, 0)"
8,training,0.03881791979074478,0.1183895170688629,0.0,-5.291017097607677,7.659734483695211,-2.8526733016309698,"(0, 1, 0)"
9,training,0.1922253668308258,0.27269282191991806,0.17228493155212474,-5.329087799045125,7.647714367529895,-2.8347223706606615,"(0, 1, 0)"
10,training,0.09722226113080978,0.7598872110247612,0.17228493155212474,-5.367369929993933,7.6360214951155205,-2.844384459106326,"(0, 1, 0)"
11,training,0.044880691915750504,0.4644131697714329,0.17228493155212474,-5.405499189428436,7.62408317855846,-2.8314347979998447,"(0, 1, 0)"
12,training,0.15107683837413788,0.8430573046207428,0.17228493155212474,-5.4243855611994105,7.617964868011696,-2.825464472063329,"(0, 1, 0)"
13,training,0.06779929250478745,1.0739584937691689,0.17228493155212474,-5.462212014637392,7.605323765935145,-2.8120189229962933,"(0, 1, 0)"
14,training,0.025744935497641563,1.3810687065124512,0.2684173592400835,-5.500024324173753,7.592163138478104,-2.801771648965625,"(0, 1, 0)"
15,training,0.08920060098171234,1.2549988189712167,0.2684173592400835,-5.537538147888047,7.578809176572163,-2.7994903295431617,"(0, 1, 0)"
16,training,0.0562763437628746,0.9645236618816853,0.2684173592400835,-5.5563989812062395,7.572097624217685,-2.8006099508750886,"(0, 1, 0)"
17,training,0.047557130455970764,0.24116534367203712,0.2684173592400835,-5.594220916131762,7.558695878721636,-2.797736557077428,"(0, 1, 0)"
18,training,0.02841154858469963,0.08853684365749359,0.2684173592400835,-5.631602928009185,7.545132605586875,-2.790847331815206,"(0, 1, 0)"
19,training,0.025239987298846245,0.3690555654466152,0.2684173592400835,-5.669206627362564,7.5313142321759665,-2.789278803624549,"(0, 1, 0)"
20,training,0.02955595962703228,0.13116257637739182,0.2684173592400835,-5.68807799643969,7.524399771583972,-2.791382867553075,"(0, 1, 0)"
21,training,0.03553798049688339,0.5746755935251713,0.21552745646514654,-5.72558763645181,7.510859909825092,-2.801509332226834,"(0, 1, 0)"
22,training,0.028217630460858345,0.17188552021980286,0.21552745646514654,-5.763504462843983,7.497719920518004,-2.8132392388771885,"(0, 1, 0)"
23,training,0.01279456727206707,0.33926061540842056,0.21552745646514654,-5.801360831797899,7.485027048580924,-2.8257144071586033,"(0, 1, 0)"
24,training,0.05048627406358719,0.2451356202363968,0.21552745646514654,-5.839474824777456,7.472950217102253,-2.8422825692869247,"(0, 1, 0)"
25,training,0.021102212369441986,0.14702121540904045,0.21552745646514654,-5.877941934368633,7.461331603423242,-2.8530039554107254,"(0, 1, 0)"
26,training,0.06491704285144806,0.20945266634225845,0.21552745646514654,-5.916226361752791,7.450114005978147,-2.8618275218952585,"(0, 1, 0)"
27,training,0.05941922217607498,0.41940443962812424,0.14389776142102337,-5.954815919212603,7.439284177274602,-2.874378175576959,"(0, 1, 0)"
28,training,0.024259954690933228,0.5947153642773628,0.14389776142102337,-5.993475300430822,7.428952417001454,-2.8874098461732327,"(0, 1, 0)"
29,training,0.023264732211828232,0.4196500703692436,0.14389776142102337,-6.032295569435364,7.419218180077664,-2.9050674231754665,"(0, 1, 0)"
30,training,0.035361189395189285,0.20296689122915268,0.14389776142102337,-6.07143144338101,7.410166281186404,-2.923632586466485,"(0, 1, 0)"
31,training,0.02378806099295616,0.2847912833094597,0.14389776142102337,-6.110648939201665,7.401835701721043,-2.941646530675841,"(0, 1, 0)"
32,training,0.015248836018145084,0.11861028522253036,0.14389776142102337,-6.150051668432874,7.3942711133915315,-2.9621611941260424,"(0, 1, 0)"
33,training,0.021996404975652695,0.2565111145377159,0.0921031861740444,-6.189498578798149,7.387483824120916,-2.9801488080996386,"(0, 1, 0)"
34,training,0,0.03957231342792511,0.0921031861740444,-6.209348796847826,7.384340673478974,-2.989192181402436,"(0, 1, 0)"
35,training,0.01932104490697384,0.06073128059506416,0.0921031861740444,-6.268969160819235,7.376174874429846,-3.0246230456537258,"(0, 1, 0)"
36,training,0.036179739981889725,0.16718466579914093,0.0921031861740444,-6.308861256123457,7.371939773597256,-3.0447121029171047,"(0, 1, 0)"
37,training,0.022560514509677887,0.08149495162069798,0.0921031861740444,-6.348939725442726,7.368371198445996,-3.061568077738127,"(0, 1, 0)"
38,training,0.01710931956768036,0.35482585430145264,0.0921031861740444,-6.388721350267742,7.365480969746427,-3.0748958251964913,"(0, 1, 0)"
39,training,0.006509427446871996,0.1935742050409317,0.07332772116932448,-6.428835472423231,7.363036221496953,-3.0882461582588143,"(0, 1, 0)"
40,training,0.016603322699666023,0.13397270441055298,0.07332772116932448,-6.468872016590603,7.361251649995315,-3.107090986756838,"(0, 1, 0)"
41,training,0.004524681717157364,0.06140448898077011,0.07332772116932448,-6.508924104848299,7.360292964030241,-3.128482087413551,"(0, 1, 0)"
42,training,0.022815896198153496,0.20686529576778412,0.07332772116932448,-6.549258175108435,7.360192815130037,3.1341832576242945,"(0, 1, 0)"
43,training,0.022525470703840256,0.22338038310408592,0.07332772116932448,-6.589195022344987,7.3608289578708295,3.118380166098583,"(0, 1, 0)"
44,training,0,0.04378874599933625,0.0704772900354355,-6.609215718277599,7.3613573333561915,3.1116874499670004,"(0, 1, 0)"
45,training,0.021327752619981766,0.2882593721151352,0.0704772900354355,-6.669352664640472,7.363525167173384,3.099101746248452,"(0, 1, 0)"
46,training,0,0.016366943717002855,0.0704772900354355,-6.689250820060004,7.364421282065732,3.0931616211985102,"(0, 1, 0)"
47,training,0,0.04138321056962013,0.0704772900354355,-6.729320956522945,7.366700181340856,3.075973346330771,"(0, 1, 0)"
48,training,0,0.023625630885362618,0.0704772900354355,-6.769421140565694,7.369631180267198,3.063113979298095,"(0, 1, 0)"
49,training,0,0.0018567629158496787,0.06793585512757627,-6.809133462217741,7.372957280103058,3.0526067483279213,"(0, 1, 0)"
50,training,0.046722523868083954,0.10945441946387291,0.06793585512757627,-6.869033025554774,7.378737764961884,3.0389337131013137,"(0, 1, 0)"
51,training,0,0.004237957298755646,0.06793585512757627,-6.888825338101145,7.380818060421797,3.0341107470995583,"(0, 1, 0)"
52,training,0.024044252932071686,0.2171866218559444,0.06793585512757627,-6.94849588100978,7.387581526474088,3.024051525925351,"(0, 1, 0)"
53,training,0.013606875203549862,0.17586019355803728,0.06793585512757627,-6.988170340296415,7.392322798758552,3.021584935754061,"(0, 1, 0)"
54,training,0.01068606786429882,0.6320714950561523,0.06793585512757627,-7.027774012627981,7.397153822190085,3.0184613989797824,"(0, 1, 0)"
55,training,0.005419714841991663,0.8000489342957735,0.06231734524706011,-7.067454187005141,7.402141858867287,3.012774979265008,"(0, 1, 0)"
56,training,0.0142450500279665,0.07599984854459763,0.06231734524706011,-7.106909272783968,7.407419588121597,3.0044688922163325,"(0, 1, 0)"
57,training,0.02174915000796318,0.31776231341063976,0.06231734524706011,-7.146574442397467,7.413002881653193,2.999095310535367,"(0, 1, 0)"
58,training,0,0.021676000207662582,0.06231734524706011,-7.166368510307409,7.415854912944059,2.9973091041102866,"(0, 1, 0)"
59,training,0,0.04923371452605352,0.06231734524706011,-7.20578215582218,7.421598207730769,2.997536801133765,"(0, 1, 0)"
60,training,0,0.044612718280404806,0.06231734524706011,-7.2453681778101044,7.427282019266754,2.998990474203578,"(0, 1, 0)"
61,training,0.019672611728310585,0.1250468399375677,0.027296961098586855,-7.304640443474333,7.435736244400294,3.0000070348033794,"(0, 1, 0)"
62,training,0.014154549688100815,0.1646188423037529,0.027296961098586855,-7.3439470890534135,7.441371552625585,2.9940147159868307,"(0, 1, 0)"
63,training,0,0.024644732475280755,0.027296961098586855,-7.363788970665694,7.444410738778676,2.9847053303355673,"(0, 1, 0)"
64,training,0,0.031577592715620995,0.027296961098586855,-7.403261465595974,7.450740378364301,2.983214597817004,"(0, 1, 0)"
65,training,0,0.026116836816072464,0.027296961098586855,-7.44269611820049,7.45705667421589,2.978856041545701,"(0, 1, 0)"
66,training,0.014512578025460243,0.07132814824581146,0.027296961098586855,-7.501882158242718,7.466875667946827,2.980475703806546,"(0, 1, 0)"
67,training,0.02045627124607563,0.1682591438293457,0.01588742930971186,-7.541104113366921,7.4732766492389375,2.9722726195888374,"(0, 1, 0)"
68,training,0.011022839695215225,0.2099657766520977,0.01588742930971186,-7.58058939004178,7.480529251599015,2.9462260181885216,"(0, 1, 0)"
69,training,0.01683674193918705,0.34928908944129944,0.01588742930971186,-7.619922599644358,7.48888785956185,2.917094311770103,"(0, 1, 0)"
70,training,0.011467806994915009,0.05812158063054085,0.01588742930971186,-7.658348095018608,7.498281874595438,2.8844067536267595,"(0, 1, 0)"
71,training,0,0.04719682037830354,0.01588742930971186,-7.677701972185534,7.503600066091747,2.8618781310646697,"(0, 1, 0)"
72,training,0.022711876779794693,0.13308726996183395,0.01588742930971186,-7.735423410745899,7.5199091707707435,2.871951387343703,"(0, 1, 0)"
73,training,0.01195584051311016,0.1515738144516945,0.029674529016487493,-7.773847587253694,7.5303510795504325,2.880199655871386,"(0, 1, 0)"
74,training,0.015255280770361423,0.1448872052133083,0.029674529016487493,-7.831837456859256,7.545588313726516,2.886410533343076,"(0, 1, 0)"
75,training,0.020305046811699867,0.12981557473540306,0.029674529016487493,-7.869747169822706,7.555537328516235,2.879239520877624,"(0, 1, 0)"
76,training,0.009984415024518967,0.23331370949745178,0.029674529016487493,-7.889079482713995,7.560809048768893,2.8713303565358017,"(0, 1, 0)"
77,training,0.021698003634810448,0.12738277763128283,0.029674529016487493,-7.927763339982772,7.571894064182723,2.850912770057335,"(0, 1, 0)"
78,training,0.047881729900836945,0.18594975769519806,0.029674529016487493,-7.966245855540765,7.583577181210773,2.850763697113213,"(0, 1, 0)"
79,training,0.007883528247475624,0.32531510293483734,0.06076808044847682,-8.004582551746353,7.594905532714699,2.856184194390978,"(0, 1, 0)"
80,training,0.005300906486809254,0.11465960741043091,0.06076808044847682,-8.043263617531547,7.606400036985989,2.8415061944567266,"(0, 1, 0)"
81,training,0.015591960400342941,0.18490878492593765,0.06076808044847682,-8.081390566127023,7.618274805262435,2.844646022862904,"(0, 1, 0)"
82,training,0.027778686955571175,0.2765844874083996,0.06076808044847682,-8.11973681457961,7.629815213309786,2.853437169173777,"(0, 1, 0)"
83,training,0.013254726305603981,0.2034243494272232,0.06076808044847682,-8.158007193037193,7.641268256193111,2.8435994875328015,"(0, 1, 0)"
84,training,0.009611902758479118,0.051999613642692566,0.06076808044847682,-8.196223584766622,7.653081444749201,2.8420954261757156,"(0, 1, 0)"
85,training,0.015776347368955612,0.2554826997220516,0.09330292718975504,-8.234379535727491,7.6644203105182624,2.8682571846202745,"(0, 1, 0)"
86,training,0.010471440851688385,0.25353657826781273,0.09330292718975504,-8.272430886376855,7.674690154953614,2.8826301637621583,"(0, 1, 0)"
87,training,0.02293993905186653,0.19305663183331487,0.09330292718975504,-8.31114402768597,7.6849450345890515,2.880818802438432,"(0, 1, 0)"
88,training,0.024771299213171005,0.058246612548828125,0.09330292718975504,-8.349576548624633,7.695169960062488,2.883915299431868,"(0, 1, 0)"
89,training,0.019515572115778923,0.12777808308601385,0.09330292718975504,-8.38815068312108,7.704675811990253,2.9228429918523644,"(0, 1, 0)"
90,training,0.017552388831973076,0.08349536359310153,0.09330292718975504,-8.426947570143026,7.712447400371274,2.9634285701353975,"(0, 1, 0)"
91,training,0.04891110956668854,0.11741973459720612,0.12186010094237351,-8.466310738649815,7.718925170707156,2.990953518056642,"(0, 1, 0)"
92,training,0.01357299741357565,0.10547871887683868,0.12186010094237351,-8.505500924407054,7.724171168475715,3.03007368092245,"(0, 1, 0)"
93,training,0.00974761787801981,0.1728533431887626,0.12186010094237351,-8.544776685273275,7.727413124633045,3.0907324306530035,"(0, 1, 0)"
94,training,0.025512993335723877,0.09243008494377136,0.12186010094237351,-8.584479882445432,7.7283147854644385,-3.136468776094232,"(0, 1, 0)"
95,training,0.026436444371938705,0.060492970049381256,0.12186010094237351,-8.623901557852983,7.727152629767594,-3.0887210719411513,"(0, 1, 0)"
96,training,0,0.020120188593864455,0.12223632010213221,-8.64366189894757,7.7258734505469935,-3.065229828080459,"(0, 1, 0)"
97,training,0.010448653250932693,0.06417679786682129,0.12223632010213221,-8.703253890185142,7.72044228780192,-3.035795819561103,"(0, 1, 0)"
98,training,0.01938159018754959,0.2567411884665489,0.12223632010213221,-8.74269336082262,7.715815264029673,-3.0160363813626825,"(0, 1, 0)"
99,training,0,0.010902121663093567,0.12223632010213221,-8.762512067932287,7.713235570074073,-3.008291902911087,"(0, 1, 0)"
100,training,0.006158905103802681,0.07210494764149189,0.12223632010213221,-8.821887594740664,7.705081436470381,-3.004414195089339,"(0, 1, 0)"
101,training,0.027722446247935295,0.2605520859360695,0.08005246408158019,-8.86150673814857,7.699602162776686,-3.0048384126004266,"(0, 1, 0)"
102,training,0.028178535401821136,0.2876093368977308,0.08005246408158019,-8.901167395042707,7.694209703741473,-3.0089258478847123,"(0, 1, 0)"
103,training,0.017368607223033905,0.2601769044995308,0.08005246408158019,-8.940705343494212,7.688996615144402,-3.0125290016335367,"(0, 1, 0)"
104,training,0.012229490093886852,0.23431981354951859,0.08005246408158019,-8.980475073748199,7.683935116879943,-3.0185329987614753,"(0, 1, 0)"
105,training,0.024107221513986588,0.2797723077237606,0.08005246408158019,-9.020174216803015,7.679205365579821,-3.027436632818344,"(0, 1, 0)"
106,training,0.013242233544588089,0.1535070724785328,0.08005246408158019,-9.059945860731355,7.674814170772679,-3.0363074363399343,"(0, 1, 0)"
107,training,0,0.02840496599674225,0.04452202520004537,-9.079931340853218,7.672750868789508,-3.0413693794736356,"(0, 1, 0)"
108,training,0.007024891674518585,0.07766203582286833,0.04452202520004537,-9.139456561096997,7.666873081501149,-3.0391891780169136,"(0, 1, 0)"
109,training,0,0.0026961714029312134,0.04452202520004537,-9.159318362487703,7.664800303004823,-3.035733508927758,"(0, 1, 0)"
110,training,0.028476055711507797,0.1467977911233902,0.04452202520004537,-9.218759463313948,7.65767550561227,-3.0099545915184405,"(0, 1, 0)"
111,training,0.01401633769273758,0.24143072962760925,0.04452202520004537,-9.258126094052963,7.652121168976423,-2.9971328886493005,"(0, 1, 0)"
112,training,0.018809746950864792,0.40380239486694336,0.04452202520004537,-9.297645238197827,7.646241128046164,-2.9907746809993596,"(0, 1, 0)"
113,training,0.02901458367705345,0.0766109973192215,0.04452202520004537,-9.337075724692708,7.640170358521267,-2.9895124395835078,"(0, 1, 0)"
114,training,0,0.04893800616264346,0.004044139439916033,-9.356788377607964,7.637110195597928,-2.9824312407641775,"(0, 1, 0)"
115,training,0.011181557551026344,0.3210252895951271,0.004044139439916033,-9.415459411112097,7.626473705820023,-2.9415069473352657,"(0, 1, 0)"
116,training,0.017577147111296654,0.3203073963522911,0.004044139439916033,-9.454264276296293,7.61840141822354,-2.9361239894527067,"(0, 1, 0)"
117,training,0.016637932509183884,0.24545169994235042,0.004044139439916033,-9.49348713454684,7.610419743826957,-2.948237969504057,"(0, 1, 0)"
118,training,0.020737051963806152,0.3029792606830597,0.004044139439916033,-9.532677738378927,7.602653622405127,-2.938827361687259,"(0, 1, 0)"
119,training,0.021116912364959717,0.3693577982485294,0.004044139439916033,-9.57145231178115,7.594622922003768,-2.941560577997262,"(0, 1, 0)"
120,training,0.01826539635658264,0.477976530790329,0.05376406006469154,-9.610464187885482,7.586771903240978,-2.9428989996165935,"(0, 1, 0)"
121,training,0.024777641519904137,0.1564083471894264,0.05376406006469154,-9.64983238364074,7.579235553896746,-2.967404026917664,"(0, 1, 0)"
122,training,0.03025940991938114,0.5321537554264069,0.05376406006469154,-9.689211566344696,7.572371504887683,-2.964112337826253,"(0, 1, 0)"
123,training,0.04647571220993996,0.10956030339002609,0.05376406006469154,-9.728823222120273,7.5655356613411175,-2.9837197830076434,"(0, 1, 0)"
124,training,0.022774748504161835,0.5604782402515411,0.05376406006469154,-9.768440663150937,7.559440774636043,-2.9913054100597534,"(0, 1, 0)"
125,training,0.005044435150921345,0.40355615317821497,0.05376406006469154,-9.809090589456316,7.553930438386909,-3.0331462546711236,"(0, 1, 0)"
126,training,0.020401781424880028,0.4401737451553345,0.04762214192240634,-9.849331276255331,7.5502689800528975,-3.059818415477423,"(0, 1, 0)"
127,training,0.01367609016597271,0.24305213987827307,0.04762214192240634,-9.869347561778165,7.5487023361171435,-3.0688828402122006,"(0, 1, 0)"
128,training,0.017483485862612724,0.4017755314707756,0.04762214192240634,-9.929438777033875,7.545261228714191,-3.093271751649593,"(0, 1, 0)"
129,training,0.01940169930458069,0.24429544433951378,0.04762214192240634,-9.949314041848183,7.544342187910314,-3.098302031392658,"(0, 1, 0)"
130,training,0.017444632947444916,0.35069619119167333,0.04762214192240634,-10.009366839892712,7.541998909775318,-3.101146360303706,"(0, 1, 0)"
131,training,0.03726218640804291,0.4541132152080536,0.07913379821956847,-10.049162720238446,7.540304432271817,-3.0968030762546666,"(0, 1, 0)"
132,training,0.04803289473056793,0.5050309002399445,0.07913379821956847,-10.089109653746913,7.538518468032065,-3.0982985543062136,"(0, 1, 0)"
133,training,0.011843008920550346,0.3501644507050514,0.07913379821956847,-10.129303921673563,7.537065392889818,-3.115893763496906,"(0, 1, 0)"
134,training,0.033407628536224365,0.3153736889362335,0.07913379821956847,-10.169177692052763,7.536322925521868,-3.1288043811276802,"(0, 1, 0)"
135,training,0.014226171188056469,0.21146784536540508,0.07913379821956847,-10.209396853260161,7.536086098961879,3.1398750989130035,"(0, 1, 0)"
136,training,0.019477929919958115,0.34695691242814064,0.07913379821956847,-10.249304407651673,7.536236201120039,3.1385602121108196,"(0, 1, 0)"
137,training,0.019686691462993622,0.4480458050966262,0.2577793624545398,-10.289253107257041,7.5364136249942035,3.134449773351195,"(0, 1, 0)"
138,training,0.017139198258519173,0.5792133659124374,0.2577793624545398,-10.329012985713591,7.536072809338729,-3.105970973319121,"(0, 1, 0)"
139,training,0.029162179678678513,0.6018514260649681,0.2577793624545398,-10.369289384715175,7.533114578453294,-3.0195635720998197,"(0, 1, 0)"
140,training,0.015421176329255104,1.0470370203256607,0.2577793624545398,-10.407329695017197,7.525937734847484,-2.8863070001215907,"(0, 1, 0)"
141,training,0.08779807388782501,0.8934947401285172,0.3842711185242398,-10.443353035312212,7.513131162445349,-2.700824117981908,"(0, 1, 0)"
142,training,0.009269928559660912,0.848426878452301,0.3842711185242398,-10.476063328864987,7.493530231641645,-2.5022640668341785,"(0, 1, 0)"
143,training,0.05264273285865784,0.967527225613594,0.4693193562648869,-10.504065186899464,7.467695627858481,-2.2865619671980744,"(0, 1, 0)"
144,training,0.2176946997642517,0.9115915820002556,0.47527542076159374,-10.525793860877991,7.4364166078265965,-2.0683232872087465,"(0, 1, 0)"
145,training,0.015185968019068241,0.6812484860420227,0.4801082547103475,-10.54051326681038,7.40107278961404,-1.8645519642694794,"(0, 1, 0)"
146,training,0.002561445813626051,0.7858325093984604,0.4801082547103475,-10.548187275238483,7.363472169804183,-1.6831384524520905,"(0, 1, 0)"
147,training,0.03597794100642204,0.3608401119709014,0.46385680859373557,-10.54952751308519,7.325564465919999,-1.5359811934129708,"(0, 1, 0)"
148,training,0.024599794298410416,0.27779388800263405,0.46385680859373557,-10.545913568112374,7.286920159689503,-1.4246009210051056,"(0, 1, 0)"
149,training,0.11523254215717316,0.06433765590190887,0.46385680859373557,-10.542633715496523,7.267587212581768,-1.3865211360193284,"(0, 1, 0)"
150,training,0,0.04605413973331454,0.43512804572425684,-10.534290419070272,7.228720203558891,-1.33489537925385,"(0, 1, 0)"
151,training,0.025949159637093544,0.06262961775064468,0.43512804572425684,-10.5187741935613,7.171471155296923,-1.2794785905890724,"(0, 1, 0)"
152,training,0.010881898924708366,0.2815609276294708,0.43512804572425684,-10.506731635021547,7.13347868821726,-1.2500135617518016,"(0, 1, 0)"
153,training,0.007680261507630348,0.18140098452568054,0.43512804572425684,-10.493752265946009,7.0959148757477015,-1.2274724139567337,"(0, 1, 0)"
154,training,0,0.0030152499675750594,0.43512804572425684,-10.486966143711369,7.07724990973304,-1.2169205551190843,"(0, 1, 0)"
155,training,0.012485912069678307,0.10641523636877537,0.43512804572425684,-10.465486274471411,7.021429300968215,-1.1930237967061985,"(0, 1, 0)"
156,training,0.03308483213186264,0.12676142156124115,0.31393554112855593,-10.450471081430479,6.98445829118647,-1.1780859562667336,"(0, 1, 0)"
157,training,0.09234901517629623,0.1963569074869156,0.31393554112855593,-10.435207972051057,6.947496899060279,-1.1823619758973918,"(0, 1, 0)"
158,training,0,0.016926089534536004,0.31393554112855593,-10.427667240655495,6.928964035343952,-1.1866394220807048,"(0, 1, 0)"
159,training,0,0.01006462424993515,0.31393554112855593,-10.412830019230293,6.8917000542271545,-1.1937849422750713,"(0, 1, 0)"
160,training,0.07009763270616531,0.1274353563785553,0.31393554112855593,-10.390510846780595,6.836214768127919,-1.178595759800945,"(0, 1, 0)"
161,training,0,0.020722023211419582,0.31393554112855593,-10.382821396292174,6.817789953201079,-1.1716792829478915,"(0, 1, 0)"
162,training,0,0.02246076613664627,0.20178807774005014,-10.36744565100681,6.781166135179662,-1.1730895872053393,"(0, 1, 0)"
163,training,0.02128949947655201,0.11917386949062349,0.20178807774005014,-10.344299560378705,6.725718538946029,-1.1831133434801449,"(0, 1, 0)"
164,training,0.025328602641820908,0.1687593013048172,0.20178807774005014,-10.32940701518932,6.688656165860918,-1.1956517990442528,"(0, 1, 0)"
165,training,0.030873209238052368,0.2554100900888443,0.20178807774005014,-10.315010645694823,6.651194027707362,-1.2136595125034721,"(0, 1, 0)"
166,training,0.11042922735214233,0.24164266884326935,0.20178807774005014,-10.301400638063742,6.613488484106491,-1.2356241449134904,"(0, 1, 0)"
167,training,0.008243218064308167,0.23331422358751297,0.20178807774005014,-10.288623333949843,6.5754168617103765,-1.2589931257471185,"(0, 1, 0)"
168,training,0.03551623970270157,0.33144089579582214,0.10885161643336021,-10.27676776672643,6.536933023136078,-1.2859374410210447,"(0, 1, 0)"
169,training,0.03236888721585274,0.36882640421390533,0.10885161643336021,-10.266032382770113,6.498383136576695,-1.3126636681060062,"(0, 1, 0)"
170,training,0.020691752433776855,0.21393302828073502,0.10885161643336021,-10.256262885322947,6.459259647364365,-1.3399436279783967,"(0, 1, 0)"
171,training,0,0.035195205360651,0.10885161643336021,-10.251787761453802,6.439573292519192,-1.3538189379784031,"(0, 1, 0)"
172,training,0.022663533687591553,0.08768441528081894,0.10885161643336021,-10.239551137248041,6.3808544865882055,-1.3750335104445732,"(1, 0, 0)"
173,training,0,0.016046535223722465,0.10885161643336021,-10.235696546401321,6.361099750172722,-1.3812914652683854,"(1, 0, 0)"
174,training,0.03843560814857483,0.19977955147624019,0.029253722424779072,-10.224840860804589,6.30207858279213,-1.3964887680951912,"(1, 0, 0)"
175,training,0.011578541249036789,0.14405259117484095,0.029253722424779072,-10.218036894393332,6.262579653347551,-1.4010977363158448,"(1, 0, 0)"
176,training,0.04040180891752243,0.3289719223976135,0.029253722424779072,-10.211220591644318,6.223138295277869,-1.3966496652268636,"(1, 0, 0)"
177,training,0,0.0474965274333954,0.029253722424779072,-10.207710579930492,6.20370039698457,-1.3827505401290034,"(1, 0, 0)"
178,training,0,0.031504228711128235,0.029253722424779072,-10.199517286177574,6.164758583246519,-1.3576111230301744,"(1, 0, 0)"
179,training,0.02858680672943592,0.20357952266931534,0.029253722424779072,-10.187101281514297,6.106040556227735,-1.3679442670003406,"(1, 0, 0)"
180,training,0.026198972016572952,0.18037809059023857,0.06665647045039558,-10.1831200084995,6.086448563738644,-1.3733470646485102,"(1, 0, 0)"
181,training,0.018413621932268143,0.20425407588481906,0.06665647045039558,-10.1718835399135,6.0272040622785426,-1.3943454000327136,"(1, 0, 0)"
182,training,0.019924312829971313,0.24211817979812622,0.06665647045039558,-10.164754586269689,5.988330202009051,-1.3763312789782367,"(1, 0, 0)"
183,training,0.011834103614091873,0.16630965843796733,0.06665647045039558,-10.156655446231449,5.949165545569357,-1.358901346887998,"(1, 0, 0)"
184,training,0.009927642531692982,0.12120437622070312,0.06665647045039558,-10.148167799687046,5.909967078494113,-1.3609280633499874,"(1, 0, 0)"
185,training,0.0209248885512352,0.2833995223045349,0.06665647045039558,-10.139737717579127,5.871023646667405,-1.3503925794326312,"(1, 0, 0)"
186,training,0.020008109509944916,0.45278608798980713,0.09726958456545025,-10.130511527667377,5.8321471128532565,-1.3223067134462643,"(1, 0, 0)"
187,training,0.024634886533021927,0.2864872217178345,0.09726958456545025,-10.120505207390185,5.7941483204264665,-1.3102819274172592,"(1, 0, 0)"
188,training,0.03729841113090515,0.41635662317276,0.09726958456545025,-10.110049935394134,5.755537714316952,-1.301310653222209,"(1, 0, 0)"
189,training,0.024872174486517906,0.29134163632988924,0.09726958456545025,-10.099394771419531,5.7167574519444475,-1.3071610356449352,"(1, 0, 0)"
190,training,0.016606291756033897,0.15785182267427444,0.09726958456545025,-10.088955233434168,5.678320192049916,-1.300900723096822,"(1, 0, 0)"
