step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad),direction
1,training,0.4906102418899536,0.700437068939209,0.0,0.0,0.0,0.0,"(1, 0, 0)"
2,training,1.220361590385437,1.101515293121338,0.0,0.0,0.0,0.0,"(1, 0, 0)"
3,training,0.9431323409080505,0.9856042563915253,0.0,0.0,0.0,0.0,"(1, 0, 0)"
4,training,0.0019193249754607677,0.02266085147857666,0.0,0.0,0.0,0.0,"(1, 0, 0)"
5,training,0.2664617896080017,0.60117207467556,0.0,0.0,0.0,0.0,"(1, 0, 0)"
6,training,0.02566264569759369,0.05449254810810089,0.0,0.0,0.0,0.0,"(1, 0, 0)"
7,training,0.05862784385681152,0.3870904669165611,0.0,0.0,0.0,0.0,"(1, 0, 0)"
8,training,0.02621200494468212,0.19311501644551757,0.08032501018888365,0.0,0.0,0.0,"(1, 0, 0)"
9,training,0.025907516479492188,0.1862381175160408,0.08032501018888365,0.0,0.0,0.0,"(1, 0, 0)"
10,training,0.017322607338428497,0.026704510673880577,0.08032501018888365,0.0,0.0,0.0,"(1, 0, 0)"
11,training,0.017767801880836487,0.060847938060760505,0.08032501018888365,0.0,0.0,0.0,"(1, 0, 0)"
12,training,0.0334041565656662,0.1662311777472496,0.08032501018888365,0.0,0.0,0.0,"(1, 0, 0)"
13,training,0.017810039222240448,0.08331441320478916,0.16066417422677187,0.0,0.0,0.0,"(1, 0, 0)"
14,training,0.007201913744211197,0.14098806120455265,0.16066417422677187,0.0,0.0,0.0,"(1, 0, 0)"
15,training,0.008469482883810997,0.10368353314697742,0.16066417422677187,0.0,0.0,0.0,"(1, 0, 0)"
16,training,0.0006854748935438693,0.0180087611079216,0.16066417422677187,0.0,0.0,0.0,"(1, 0, 0)"
17,training,0.005820415448397398,0.1259816624224186,0.16066417422677187,0.0,0.0,0.0,"(1, 0, 0)"
18,training,0.0010264948941767216,0.003262404352426529,0.16066417422677187,0.0,0.0,0.0,"(1, 0, 0)"
19,training,0.006111940369009972,0.00119017064571382,0.20438618891505925,0.0,0.0,0.0,"(1, 0, 0)"
20,training,0.007139663212001324,0.02633535861968994,0.20438618891505925,0.0,0.0,0.0,"(1, 0, 0)"
21,training,0.0020862773526459932,0.0331062451004982,0.20438618891505925,0.0,0.0,0.0,"(1, 0, 0)"
22,training,0.0027688010595738888,0.14612705633044243,0.20438618891505925,0.0,0.0,0.0,"(1, 0, 0)"
23,training,0.012409031391143799,0.25112012028694153,0.20438618891505925,0.0,0.0,0.0,"(1, 0, 0)"
24,training,0.01543472334742546,0.013560265302658095,0.20059111622691728,0.0,0.0,0.0,"(1, 0, 0)"
25,training,0.008202504366636276,0.077518031001091,0.20059111622691728,0.0,0.0,0.0,"(1, 0, 0)"
26,training,0.01360086165368557,0.2531057819724083,0.20059111622691728,0.0,0.0,0.0,"(1, 0, 0)"
27,training,0.013828909024596214,0.11909966915845868,0.20059111622691728,0.0,0.0,0.0,"(1, 0, 0)"
28,training,0.00869174674153328,0.10795971751213074,0.20059111622691728,0.0,0.0,0.0,"(1, 0, 0)"
29,training,0.026712995022535324,0.2713473215699196,0.21228356549878488,0.0,0.0,0.0,"(1, 0, 0)"
30,training,0.010198282077908516,0.19201895594596863,0.21228356549878488,0.0,0.0,0.0,"(1, 0, 0)"
31,training,0.012329675257205963,0.15392544865608215,0.21228356549878488,0.0,0.0,0.0,"(1, 0, 0)"
32,training,0.01814872957766056,0.280558243393898,0.21228356549878488,0.0,0.0,0.0,"(1, 0, 0)"
33,training,0.006197299808263779,0.2041027694940567,0.21228356549878488,0.0,0.0,0.0,"(1, 0, 0)"
34,training,0.005896982736885548,0.11968901380896568,0.18708285277227799,0.0,0.0,0.0,"(1, 0, 0)"
35,training,0.007591028697788715,0.15064603462815285,0.18708285277227799,0.0,0.0,0.0,"(1, 0, 0)"
36,training,0.007831944152712822,0.03136402741074562,0.18708285277227799,0.0,0.0,0.0,"(1, 0, 0)"
37,training,0.007835726253688335,0.0452168583869934,0.18708285277227799,0.0,0.0,0.0,"(1, 0, 0)"
38,training,0.006891464814543724,0.05826711095869541,0.18708285277227799,0.0,0.0,0.0,"(1, 0, 0)"
39,training,0.00573305506259203,0.18079257011413574,0.13275870742206292,0.0,0.0,0.0,"(1, 0, 0)"
40,training,0.0053918613120913506,0.15310599654912949,0.13275870742206292,0.0,0.0,0.0,"(1, 0, 0)"
41,training,0.00714566744863987,0.14376928843557835,0.13275870742206292,0.0,0.0,0.0,"(1, 0, 0)"
42,training,0.006433595437556505,0.14880608022212982,0.13275870742206292,0.0,0.0,0.0,"(1, 0, 0)"
